sentence	label
i want to fly from boston at 838 am and arrive in denver at 1110 in the morning	14
what flights are available from pittsburgh to baltimore on thursday morning	14
what is the arrival time in san francisco for the 755 am flight leaving washington	19
cheapest airfare from tacoma to orlando	3
round trip fares from pittsburgh to philadelphia under 1000 dollars	3
i need a flight tomorrow from columbus to minneapolis	14
what kind of aircraft is used on a flight from cleveland to dallas	1
show me the flights from pittsburgh to los angeles on thursday	14
all flights from boston to washington	14
what kind of ground transportation is available in denver	21
show me the flights from dallas to san francisco	14
show me the flights from san diego to newark by way of houston	14
what 's the airport at orlando	8
what is the cheapest flight from boston to bwi	14
all flights to baltimore after 6 pm	14
show me the first class fares from boston to denver	3
show me the ground transportation in denver	21
all flights from denver to pittsburgh leaving after 6 pm and before 7 pm	14
i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore	14
please give me the flights from boston to pittsburgh on thursday of next week	14
i would like to fly from denver to pittsburgh on united airlines	14
show me the flights from san diego to newark	14
please list all first class flights on united from denver to baltimore	14
what kinds of planes are used by american airlines	1
i 'd like to have some information on a ticket from denver to pittsburgh and atlanta	3
i 'd like to book a flight from atlanta to denver	14
which airline serves denver pittsburgh and atlanta	6
show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm	14
atlanta ground transportation	21
i also need service from dallas to boston arriving by noon	14
show me the cheapest round trip fare from baltimore to dallas	3
show me all flights from new york to milwaukee on northwest airlines departing at 720 am	14
flights from new york to miami	14
please find a flight on delta from philadelphia to san francisco and give me the flight numbers	14
i need a flight from dallas to san francisco	14
fares and flights from pittsburgh to philadelphia	3
show me the airlines with first class flights	6
what are the flights from st. louis to burbank sunday evening	14
i 'd like to arrange a flight from pittsburgh to atlanta	14
show flights from baltimore to san francisco between 6 pm and 8 pm on friday	14
how far is it from orlando airport to orlando	13
i would like a list of round trip flights between indianapolis and orlando florida for the twenty seventh and the twenty eighth of december	14
which airline has the most arrivals in atlanta	6
what airlines fly from new york to milwaukee to los angeles	6
pittsburgh to denver	14
which airlines serve atlanta	6
show me information on ground transportation for dallas	21
what is fare code h	0
show me all flights from boston to dallas fort worth both direct and connecting that arrive before noon	14
i need a flight from charlotte to newark leaving today evening	14
what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh	19
flights from newark to cleveland	14
what flights go from boston to pittsburgh after 6 o'clock next tuesday	14
how much does the limousine service cost within pittsburgh	20
does us air have any flights out of atlanta to denver	14
what is booking class c	0
i 'd like to know the shortest trip between boston and san francisco	14
i would like to see information for flights from san francisco leaving after 12 pm to pittsburgh on monday	14
what is the least expensive flight from denver to atlanta	14
i need to know information for flights leaving dallas on tuesday evening and returning to atlanta	14
what flight goes from denver to baltimore first class on united airlines arriving on may seventh	14
could you please tell me the airlines that fly from toronto to san diego	6
what flights do you have from burbank to tacoma washington	14
what is the ground transportation from philadelphia airport to the city proper	21
which airlines have first class flights today	6
find the latest flight from san francisco to atlanta that serves a meal	14
i would like to make a reservation for a flight to denver from philadelphia on this coming sunday	14
give me a list of airports in baltimore	8
show me flights from boston to denver on wednesday	14
show me the flights from boston to baltimore	14
what does fare code q mean	0
please give me the flights from san francisco to washington dc	14
i need information from denver to pittsburgh	14
from seattle to salt lake city	14
what is the earliest flight from boston to bwi that serves a snack	14
what types of aircraft does delta fly	1
what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth	3
give me the flights leaving denver august ninth coming back to boston	14
list all the flights that fly into general mitchell international	14
what flights fly from denver to san francisco on monday tuesday wednesday thursday and friday	14
list all flights from indianapolis to seattle	14
in flight meal oakland to philadelphia saturday	14
show me the flights on twa from atlanta in the morning	14
i want to find the first flight from baltimore to boston that serves a meal	14
of all airlines which airline has the most arrivals in atlanta	6
display all flights from baltimore to boston on july twenty ninth	14
i want to travel from atlanta to baltimore early in the morning first flight	14
i now need a flight from san jose to houston leaving on sunday the fourth	14
what are the flights available after 6 pm between san francisco and boston	14
what flights depart baltimore on friday and arrive in san francisco by 8 pm	14
show me flights from boston to san francisco	14
list the delta airlines flights from boston to philadelphia	14
show me the fares from dallas to san francisco	3
what nonstop flights between boston and washington arrive after 4 o'clock pm	14
what is the distance from los angeles international airport to los angeles	13
ground transportation in san jose	21
please tell me how many nonstop flights there are from boston to atlanta	24
on the earliest flight from san francisco to atlanta on delta is a meal being served	14
where does canadian airlines international fly	14
what flights from denver to pittsburgh arrive before 8 in the morning	14
find me the earliest flight from boston to atlanta	14
list nonstop flights from houston to dallas which arrive before midnight	14
show me the flights from boston to san francisco that stop in atlanta	14
show me flights to san francisco from philadelphia stopping in dallas	14
what city is the airport mco in	11
how much does it cost to rent a car in tacoma	20
show me flights from baltimore to dallas	14
show me a list of ground transportation at denver	21
i 'd like a flight from columbus to phoenix stopping in cincinnati and serving dinner what 's available	14
also show me flights from san francisco to pittsburgh on tuesday	14
show flights from dallas to oakland	14
give me the cheapest flight from charlotte to long beach	14
show me all flights from san francisco to pittsburgh	14
find me a flight on united from boston to san francisco with a stopover in denver	14
show me the last flight from love field	14
what flights go from newark to boston after 5 pm	14
what are all the flights from boston to dallas	14
what is the earliest flight departing san francisco and arriving in boston on november ninth	14
what is the earliest flight flying from pittsburgh to atlanta on july fifth	14
please list available flights for next saturday from philadelphia to dallas	14
what flights leave pittsburgh and arrive in los angeles after 5 pm on thursday	14
what is the transportation time from the airport to boston	21
which airline has the smallest plane leaving pittsburgh and arriving in baltimore on july fourth	6
what are the nonstop flights on america west or southwest air from kansas city to burbank on saturday may twenty two	14
what are the classes of service for american airlines	14
i would like to find out what flights there are on friday june eleventh from st. petersburg to milwaukee and then from milwaukee to tacoma thank you	14
all flights from boston to washington dc on november tenth	14
what are the flights from denver to san francisco	14
on the 8 am flight from san francisco to atlanta what type of aircraft is used	1
which flight is a one way fare at 329 dollars from denver to pittsburgh	14
what flights leave baltimore for boston after 6 o'clock on friday	14
okay i need to get a flight from houston to seattle	14
please list flights between denver and boston	14
