it's	it is
don't	do not
doesn't	does not
didn't	did not
you'd	you would
you're	you are
you'll	you will
i'm	i am
they're	they are
that's	that is
what's	what is
couldn't	could not
i've	i have
we've	we have
can't	cannot
i'd	i would
i'd	i would
aren't	are not
isn't	is not
wasn't	was not
weren't	were not
won't	will not
there's	there is
there're	there are
. .	.
restaurants	restaurant -s
hotels	hotel -s
laptops	laptop -s
cheaper	cheap -er
dinners	dinner -s
lunches	lunch -s
breakfasts	breakfast -s
expensively	expensive -ly
moderately	moderate -ly
cheaply	cheap -ly
prices	price -s
places	place -s
venues	venue -s
ranges	range -s
meals	meal -s
locations	location -s
areas	area -s
policies	policy -s
children	child -s
kids	kid -s
kidfriendly	kid friendly
cards	card -s
upmarket	expensive
inpricey	cheap
inches	inch -s
uses	use -s
dimensions	dimension -s
driverange	drive range
includes	include -s
computers	computer -s
machines	machine -s
families	family -s
ratings	rating -s
constraints	constraint -s
pricerange	price range
batteryrating	battery rating
requirements	requirement -s
drives	drive -s
specifications	specification -s
weightrange	weight range
harddrive	hard drive
batterylife	battery life
businesses	business -s
hours	hour -s
one	1
two	2
three	3
four	4
five	5
six	6
seven	7
eight	8
nine	9
ten	10
eleven	11
twelve	12
anywhere	any where
good bye	goodbye
