speaker	speaker_id
arf_05679	0
arf_05223	1
arf_07973	2
arf_01208	3
arf_06136	4
arf_07060	5
arf_09697	6
arf_00295	7
arf_02484	8
arf_03397	9
arf_03349	10
arf_01523	11
arf_08421	12
arf_07505	13
arf_02121	14
arf_00610	15
arf_09334	16
arf_09799	17
arf_08886	18
arf_07508	19
arf_03034	20
arf_04766	21
arf_02436	22
arf_08784	23
arf_06592	24
arf_03853	25
arf_04310	26
arf_07049	27
arf_02485	28
arf_03398	29
arf_04311	30
arm_09697	31
arm_01523	32
arm_04310	33
arm_08784	34
arm_00610	35
arm_08421	36
arm_02484	37
arm_03397	38
arm_07508	39
arm_09334	40
arm_07049	41
arm_05223	42
arm_06136	43
clf_09334	44
clf_09697	45
clf_05223	46
clf_07508	47
clf_01523	48
clf_08784	49
clf_06136	50
clf_02484	51
clf_04310	52
clf_08421	53
clf_07049	54
clf_00610	55
clf_03397	56
clm_08421	57
clm_02436	58
clm_09697	59
clm_08784	60
clm_03034	61
clm_02484	62
clm_03349	63
clm_04310	64
clm_02121	65
clm_07049	66
clm_00610	67
clm_05223	68
clm_03397	69
clm_06136	70
clm_01208	71
clm_01523	72
clm_09334	73
clm_07508	74
cof_02436	75
cof_03397	76
cof_07508	77
cof_03034	78
cof_06136	79
cof_09334	80
cof_01523	81
cof_00610	82
cof_09697	83
cof_05223	84
cof_04310	85
cof_07049	86
cof_02484	87
cof_03349	88
cof_08421	89
cof_08784	90
com_03349	91
com_07508	92
com_02121	93
com_02484	94
com_01523	95
com_05223	96
com_03397	97
com_03034	98
com_00610	99
com_08421	100
com_07049	101
com_04310	102
com_08784	103
com_09334	104
com_02436	105
com_06136	106
com_09697	107
pef_02436	108
pef_09334	109
pef_09697	110
pef_08784	111
pef_02484	112
pef_03397	113
pef_07049	114
pef_05223	115
pef_00610	116
pef_03349	117
pef_04310	118
pef_08421	119
pef_03034	120
pef_01523	121
pef_01208	122
pef_02121	123
pef_07508	124
pef_06136	125
pem_01208	126
pem_01523	127
pem_03034	128
pem_08784	129
pem_02121	130
pem_03397	131
pem_04310	132
pem_08421	133
pem_02484	134
pem_03349	135
pem_02436	136
pem_00295	137
pem_00610	138
pem_09334	139
pem_06136	140
pem_07508	141
pem_05223	142
pem_09697	143
pem_07049	144
pem_07505	145
prf_06136	146
prf_04310	147
prf_05223	148
prf_03397	149
prf_02484	150
vef_02484	151
vef_06136	152
vef_07508	153
vef_04310	154
vef_08421	155
vef_05223	156
vef_09334	157
vef_03397	158
vef_07049	159
vef_08784	160
vef_09697	161
vem_05223	162
vem_04310	163
vem_02484	164
vem_09334	165
vem_00610	166
vem_03397	167
vem_06136	168
vem_07049	169
vem_08784	170
vem_07508	171
vem_08421	172
vem_09697	173
