Hon.	honorable
Mt.	Mount
Maj.	Major
Rev.	Reverend
#	hash
Gov.	governor
vs.	versus
vs	versus
dept.	department
vol	volume
vol.	volume
bldg.	building
Bldg.	Building
apt.	apartment
Apt.	Apartment
Σ	sigma
η	eta
κ	kappa
ω	omega
σ	sigma
α	alpha
ν	nu
δ	delta
ι	iota
_	underscore
$	dollar sign
%	percent sign
*	asterisk
+	plus
/	slash
=	equal sign
^	circumflex
{	left brace
|	vertical bar
}	right brace
~	tilde
&	and
ltd	limited
$	dollar
Capt.	captain
Co.	company
Col.	colonel
Dr.	doctor
Drs.	doctors
e.g.	for example
e. g.	for example
Esq.	esquire
F.I	f
Ft.	Fort
Gen.	general
i.e.	that is
I/O	i o
Jr.	junior
jr.	junior
Jr	junior
jr	junior
Ltd.	limited
Lt.	lieutenant
Mr.	mister
Mrs.	misses
Ms.	miss
Sgt.	sergeant
Uéda	u e acute d a
vs.	versus
_vs._	versus
