7-eleven	seven eleven
ES3	e s three
S&P 500	s and p five hundred
e.g.	for example
e. g.	for example
i.e.	that is
Dr.	doctor
Mr.	mister
Mrs.	misses
Ms.	miss
vs.	versus
_vs._	versus
No.	number
St.	saint
Co.	company
Jr.	junior
Maj.	major
Gen.	general
Drs.	doctors
Rev.	reverend
Lt.	lieutenant
Hon.	honorable
Sgt.	sergeant
Capt.	captain
Esq.	esquire
Ltd.	limited
Col.	colonel
Ft.	Fort
A&E	a and e
ROREs	r o r e's
Bmal	b m a l
LCCA	l c c a
ATACMS	a t a c m s
GPS	g p s
RNAi	r n a i
P.	p
ISFDB	i s f d b
PDF	p d f
UK	u k
ci	c i
ilde	i l d e
BBC	b b c
NBA	n b a
U.S.	u s
ASACP's	a s a c p's
CRSD	c r s d
Hwan	h w a n
SCSI	s c s i
WILLERSLEV	w i l l e r s l e v
DNA's	d n a's
png	p n g
WD	w d
GIS	g i s
VEKE's	v e k e's
I.	i
BCN	b c n
USB	u s b
S-	s
ALD	a l d
G.	g
d'un	d u n
FC	f c
NWSL	n w s l
OJM	o j m
Exp	e x p
J.	j
SS	s s
D.O.B.	d o b
L.	l
GDP	g d p
YPG	y p g
UE	u e
ISBN	i s b n
ZAIAT	z a i a t
GWR	g w r
SNC	s n c
WCHA	w c h a
C.	c
O.F.M.	o f m
Conv	c o n v
GNIS	g n i s
ID	i d
VR	v r
YL	y l
H.	h
S.	s
G.O.P.	g o p
OT	o t
LLC	l l c
J.A.	j a
J. P.	j p
TV	t v
KJ	k j
SD	s d
DC	d c
JJ	j j
PR	p r
Uhlén	u h l e acute n
JM	j m
XBV-	x b v
TM	t m
A.	a
E.	e
M. M. J.	m m j
T. W.	t w
HEVC	h e v c
M.	m
CBS	c b s
HIV	h i v
RNA	r n a
DNA	d n a
PVC	p v c
DK	d k
IEC	i e c
BS	b s
GB	g b
W.	w
NHL's	n h l's
TRA	t r a
ITV	i t v
DVD	d v d
hr	h r
SRK's	s r k's
ITN	i t n
ans	a n s
XML	x m l
DTD	d t d
SUV	s u v
LTER	l t e r
ABC	a b c
IUCN	i u c n
IRAC	i r a c
vom	v o m
GM	g m
DJ	d j
CCA	c c a
HL	h l
S.A.	s a
D.	d
